promotion_id,customer_id,product_id,erp_source,promotion_type,baseline_price,promotional_price,discount_pct,discount_amount,volume_units,trade_spend_amount,volume_uplift_pct,promo_start_date,promo_end_date,transaction_date,approval_status,_ingestion_timestamp
PROMO00018,CUST011,PROD005,NAV1,Seasonal Promotion,3.49,2.7281,21.83,0.7619,4208,3206.08,1.11,2024-11-07,2024-11-19,2024-11-07,APPROVED,2026-05-05T00:00:29.872858
PROMO00019,CUST009,PROD013,CLOUDSUITE,New Product Launch,1.89,1.4468,23.45,0.4432,54,23.93,14.54,2024-11-02,2024-11-12,2024-11-02,APPROVED,2026-05-05T00:00:29.872868
PROMO00020,CUST006,PROD015,M3_V133,Volume Discount,1.45,1.0917,24.71,0.3583,2569,920.47,4.63,2024-05-02,2024-05-27,2024-05-02,APPROVED,2026-05-05T00:00:29.872879
PROMO00021,CUST002,PROD002,NAV2,Clearance,1.09,0.8759,19.64,0.2141,616,131.89,25.63,2025-01-24,2025-02-04,2025-01-24,APPROVED,2026-05-05T00:00:29.872892
PROMO00022,CUST011,PROD008,NAV1,Clearance,1.49,1.1333,23.94,0.3567,1402,500.09,29.9,2024-05-15,2024-06-04,2024-05-15,APPROVED,2026-05-05T00:00:29.872905
PROMO00023,CUST004,PROD015,NAV1,New Product Launch,1.45,1.221,15.79,0.229,1697,388.61,10.96,2024-12-31,2025-01-28,2024-12-31,APPROVED,2026-05-05T00:00:29.872915
PROMO00024,CUST011,PROD006,NAV1,Volume Discount,4.29,3.6997,13.76,0.5903,4289,2531.8,4.92,2024-08-19,2024-08-28,2024-08-19,APPROVED,2026-05-05T00:00:29.872926
PROMO00025,CUST006,PROD001,M3_V133,Seasonal Promotion,1.09,0.9072,16.77,0.1828,1935,353.72,-4.71,2024-10-28,2024-11-24,2024-10-28,APPROVED,2026-05-05T00:00:29.872936
PROMO00026,CUST001,PROD004,NAV1,Volume Discount,3.99,3.7366,6.35,0.2534,307,77.79,15.57,2024-06-18,2024-07-03,2024-06-18,APPROVED,2026-05-05T00:00:29.872946
PROMO00027,CUST011,PROD008,NAV1,Clearance,1.49,1.3517,9.28,0.1383,1133,156.69,18.05,2025-01-05,2025-01-19,2025-01-05,APPROVED,2026-05-05T00:00:29.872957
PROMO00028,CUST008,PROD013,TROPOS,Bundle Deal,1.89,1.6417,13.14,0.2483,822,204.1,12.24,2024-02-19,2024-03-10,2024-02-19,APPROVED,2026-05-05T00:00:29.872967
PROMO00029,CUST007,PROD008,M3_V133,Bundle Deal,1.49,1.158,22.28,0.332,493,163.68,34.37,2024-12-10,2024-12-20,2024-12-10,APPROVED,2026-05-05T00:00:29.872977
PROMO00030,CUST001,PROD007,NAV1,Seasonal Promotion,0.99,0.7964,19.56,0.1936,945,182.95,2.61,2024-05-07,2024-05-28,2024-05-07,APPROVED,2026-05-05T00:00:29.872988
PROMO00031,CUST003,PROD007,CLOUDSUITE,Market Development Fund,0.99,0.9042,8.67,0.0858,3839,329.39,31.93,2024-05-07,2024-05-28,2024-05-07,APPROVED,2026-05-05T00:00:29.872998
PROMO00032,CUST009,PROD002,CLOUDSUITE,Volume Discount,1.09,1.0245,6.01,0.0655,4478,293.31,32.05,2024-01-08,2024-01-22,2024-01-08,APPROVED,2026-05-05T00:00:29.873009
PROMO00033,CUST003,PROD007,CLOUDSUITE,Volume Discount,0.99,0.8444,14.71,0.1456,1801,262.23,1.59,2024-07-24,2024-07-31,2024-07-24,APPROVED,2026-05-05T00:00:29.873019
PROMO00034,CUST007,PROD005,M3_V133,Retailer Event,3.49,2.6688,23.53,0.8212,3777,3101.67,22.86,2024-05-26,2024-06-19,2024-05-26,APPROVED,2026-05-05T00:00:29.873032
PROMO00035,CUST011,PROD012,NAV1,Seasonal Promotion,4.49,3.8286,14.73,0.6614,1605,1061.55,33.75,2024-05-31,2024-06-25,2024-05-31,APPROVED,2026-05-05T00:00:29.873043
PROMO00036,CUST012,PROD009,CLOUDSUITE,Volume Discount,4.99,4.6796,6.22,0.3104,2619,812.94,18.37,2024-01-30,2024-02-22,2024-01-30,APPROVED,2026-05-05T00:00:29.873053
PROMO00037,CUST009,PROD003,CLOUDSUITE,Market Development Fund,2.29,2.1494,6.14,0.1406,4210,591.93,2.43,2024-02-11,2024-03-08,2024-02-11,APPROVED,2026-05-05T00:00:29.873063
PROMO00038,CUST002,PROD011,NAV2,Clearance,1.49,1.1586,22.24,0.3314,3357,1112.51,4.85,2024-03-02,2024-03-28,2024-03-02,APPROVED,2026-05-05T00:00:29.873073
PROMO00039,CUST001,PROD010,NAV1,Clearance,1.49,1.3911,6.64,0.0989,4831,477.79,7.65,2024-10-16,2024-10-31,2024-10-16,APPROVED,2026-05-05T00:00:29.873083
PROMO00040,CUST004,PROD011,NAV1,Retailer Event,1.49,1.2021,19.32,0.2879,2005,577.24,0.24,2024-05-15,2024-06-11,2024-05-15,APPROVED,2026-05-05T00:00:29.873096
PROMO00041,CUST005,PROD008,NAV2,Retailer Event,1.49,1.3213,11.32,0.1687,644,108.64,19.85,2024-01-05,2024-01-30,2024-01-05,APPROVED,2026-05-05T00:00:29.873107
PROMO00042,CUST002,PROD002,NAV2,Seasonal Promotion,1.09,0.9183,15.75,0.1717,4194,720.11,32.33,2024-05-15,2024-05-24,2024-05-15,APPROVED,2026-05-05T00:00:29.873117
PROMO00043,CUST004,PROD006,NAV1,Bundle Deal,4.29,3.831,10.7,0.459,3639,1670.3,7.1,2024-10-05,2024-11-01,2024-10-05,APPROVED,2026-05-05T00:00:29.873127
PROMO00044,CUST009,PROD001,CLOUDSUITE,Bundle Deal,1.09,0.8899,18.36,0.2001,4593,919.06,-0.86,2024-06-02,2024-06-13,2024-06-02,APPROVED,2026-05-05T00:00:29.873138
PROMO00045,CUST005,PROD002,NAV2,New Product Launch,1.09,0.8416,22.79,0.2484,4582,1138.17,6.27,2024-03-20,2024-04-02,2024-03-20,APPROVED,2026-05-05T00:00:29.873148
PROMO00046,CUST012,PROD006,CLOUDSUITE,Retailer Event,4.29,3.9009,9.07,0.3891,2212,860.69,5.04,2024-09-15,2024-09-23,2024-09-15,APPROVED,2026-05-05T00:00:29.873158
PROMO00047,CUST002,PROD011,NAV2,Volume Discount,1.49,1.2893,13.47,0.2007,2316,464.82,8.34,2024-01-23,2024-02-03,2024-01-23,APPROVED,2026-05-05T00:00:29.873171
PROMO00048,CUST011,PROD005,NAV1,Bundle Deal,3.49,3.2028,8.23,0.2872,3669,1053.74,12.11,2024-10-09,2024-10-16,2024-10-09,APPROVED,2026-05-05T00:00:29.873182
PROMO00049,CUST002,PROD002,NAV2,Volume Discount,1.09,0.8295,23.9,0.2605,1271,331.1,28.38,2024-10-06,2024-10-31,2024-10-06,APPROVED,2026-05-05T00:00:29.873192
PROMO00050,CUST009,PROD003,CLOUDSUITE,New Product Launch,2.29,1.9786,13.6,0.3114,392,122.07,30.96,2024-06-06,2024-06-14,2024-06-06,APPROVED,2026-05-05T00:00:29.873202
PROMO00051,CUST006,PROD004,M3_V133,Market Development Fund,3.99,3.2463,18.64,0.7437,892,663.38,17.4,2024-06-30,2024-07-20,2024-06-30,APPROVED,2026-05-05T00:00:29.873213
PROMO00052,CUST010,PROD012,NAV2,Market Development Fund,4.49,0.7521,83.25,3.7379,1381,5162.04,2.08,2025-02-13,2025-03-05,2025-02-13,APPROVED,2026-05-05T00:00:29.873242
PROMO00053,CUST001,PROD003,NAV1,Retailer Event,2.29,1.8382,19.73,0.4518,2771,1251.94,27.09,2025-02-04,2025-02-18,2025-02-04,APPROVED,2026-05-05T00:00:29.873257
PROMO00054,CUST005,PROD003,NAV2,Market Development Fund,2.29,1.8148,20.75,0.4752,935,444.31,-3.45,2024-07-14,2024-08-05,2024-07-14,APPROVED,2026-05-05T00:00:29.873268
PROMO00055,CUST004,PROD004,NAV1,Market Development Fund,3.99,1.1368,71.51,2.8532,2550,7275.66,29.85,2025-02-24,2025-03-10,2025-02-24,APPROVED,2026-05-05T00:00:29.873279
PROMO00056,CUST001,PROD011,NAV1,Market Development Fund,1.49,1.358,8.86,0.132,2739,361.55,-2.22,2024-05-22,2024-06-06,2024-05-22,APPROVED,2026-05-05T00:00:29.873293
PROMO00057,CUST006,PROD011,M3_V133,Volume Discount,1.49,1.2637,15.19,0.2263,4442,1005.22,-0.39,2024-06-18,2024-07-03,2024-06-18,APPROVED,2026-05-05T00:00:29.873304
PROMO00058,CUST003,PROD010,CLOUDSUITE,Volume Discount,1.49,1.1287,24.25,0.3613,2224,803.53,18.86,2024-01-20,2024-02-07,2024-01-20,APPROVED,2026-05-05T00:00:29.873322
PROMO00059,CUST012,PROD013,CLOUDSUITE,Retailer Event,1.89,1.677,11.27,0.213,4239,902.91,30.98,2024-02-29,2024-03-13,2024-02-29,APPROVED,2026-05-05T00:00:29.873333
PROMO00060,CUST005,PROD001,NAV2,Market Development Fund,1.09,0.8809,19.18,0.2091,63,13.17,16.54,2024-09-23,2024-10-21,2024-09-23,APPROVED,2026-05-05T00:00:29.873349
PROMO00061,CUST004,PROD006,NAV1,New Product Launch,4.29,3.7053,13.63,0.5847,2754,1610.26,21.54,2024-11-15,2024-11-25,2024-11-15,APPROVED,2026-05-05T00:00:29.873360
PROMO00062,CUST012,PROD015,CLOUDSUITE,Retailer Event,1.45,0.4679,67.73,0.9821,3395,3334.23,22.89,2024-06-16,2024-07-10,2024-06-16,APPROVED,2026-05-05T00:00:29.873371
PROMO00063,CUST003,PROD004,CLOUDSUITE,Bundle Deal,3.99,3.4549,13.41,0.5351,3155,1688.24,31.11,2024-12-12,2025-01-07,2024-12-12,APPROVED,2026-05-05T00:00:29.873381
PROMO00064,CUST010,PROD005,NAV2,New Product Launch,3.49,3.0321,13.12,0.4579,53,24.27,3.41,2024-06-04,2024-06-29,2024-06-04,APPROVED,2026-05-05T00:00:29.873391
PROMO00065,CUST010,PROD011,NAV2,Bundle Deal,1.49,1.3195,11.44,0.1705,3669,625.56,3.55,2024-08-14,2024-09-05,2024-08-14,APPROVED,2026-05-05T00:00:29.873402
PROMO00066,CUST012,PROD003,CLOUDSUITE,Market Development Fund,2.29,0.7536,67.09,1.5364,2795,4294.24,33.08,2024-02-17,2024-03-02,2024-02-17,APPROVED,2026-05-05T00:00:29.873413
PROMO00067,CUST011,PROD005,NAV1,Volume Discount,3.49,3.1588,9.49,0.3312,1681,556.75,-3.15,2024-03-16,2024-04-07,2024-03-16,APPROVED,2026-05-05T00:00:29.873423
PROMO00068,CUST010,PROD014,NAV2,Bundle Deal,4.29,3.4161,20.37,0.8739,3780,3303.34,18.03,2024-07-31,2024-08-19,2024-07-31,APPROVED,2026-05-05T00:00:29.873433
PROMO00069,CUST008,PROD007,TROPOS,Market Development Fund,0.99,0.8922,9.88,0.0978,95,9.29,25.8,2025-01-19,2025-01-29,2025-01-19,APPROVED,2026-05-05T00:00:29.873444
PROMO00070,CUST007,PROD004,M3_V133,Volume Discount,3.99,3.6501,8.52,0.3399,4293,1459.19,17.3,2024-08-25,2024-09-04,2024-08-25,APPROVED,2026-05-05T00:00:29.873454
PROMO00071,CUST008,PROD003,TROPOS,Clearance,2.29,1.8084,21.03,0.4816,4401,2119.52,7.69,2024-10-13,2024-11-03,2024-10-13,APPROVED,2026-05-05T00:00:29.873465
PROMO00072,CUST010,PROD014,NAV2,Market Development Fund,4.29,3.4582,19.39,0.8318,4185,3481.08,31.27,2024-08-06,2024-08-27,2024-08-06,APPROVED,2026-05-05T00:00:29.873478
PROMO00073,CUST003,PROD012,CLOUDSUITE,Market Development Fund,4.49,3.4919,22.23,0.9981,3736,3728.9,4.89,2024-05-12,2024-06-08,2024-05-12,APPROVED,2026-05-05T00:00:29.873488
PROMO00074,CUST005,PROD013,NAV2,Seasonal Promotion,1.89,1.5016,20.55,0.3884,4019,1560.98,5.98,2024-11-16,2024-11-25,2024-11-16,APPROVED,2026-05-05T00:00:29.873499
PROMO00075,CUST012,PROD005,CLOUDSUITE,Clearance,3.49,3.1518,9.69,0.3382,2801,947.3,-1.78,2024-06-12,2024-06-23,2024-06-12,APPROVED,2026-05-05T00:00:29.873509
PROMO00076,CUST004,PROD007,NAV1,Retailer Event,0.99,0.8031,18.88,0.1869,1802,336.79,11.3,2024-02-02,2024-02-26,2024-02-02,APPROVED,2026-05-05T00:00:29.873519
PROMO00077,CUST008,PROD007,TROPOS,Market Development Fund,0.99,0.9281,6.25,0.0619,3491,216.09,18.36,2024-07-18,2024-07-25,2024-07-18,APPROVED,2026-05-05T00:00:29.873532
PROMO00078,CUST010,PROD007,NAV2,Market Development Fund,0.99,0.8461,14.54,0.1439,2931,421.77,10.6,2024-06-01,2024-06-21,2024-06-01,APPROVED,2026-05-05T00:00:29.873543
PROMO00079,CUST009,PROD012,CLOUDSUITE,Retailer Event,4.49,3.6059,19.69,0.8841,4991,4412.54,3.78,2024-04-22,2024-05-12,2024-04-22,APPROVED,2026-05-05T00:00:29.873554
PROMO00080,CUST008,PROD001,TROPOS,Seasonal Promotion,1.09,0.9507,12.78,0.1393,3362,468.33,28.62,2025-01-05,2025-01-16,2025-01-05,APPROVED,2026-05-05T00:00:29.873564
PROMO00081,CUST010,PROD009,NAV2,Clearance,4.99,4.7136,5.54,0.2764,3277,905.76,21.52,2024-10-30,2024-11-08,2024-10-30,APPROVED,2026-05-05T00:00:29.873574
PROMO00082,CUST011,PROD007,NAV1,Volume Discount,0.99,0.9137,7.71,0.0763,3832,292.38,5.41,2024-04-03,2024-04-20,2024-04-03,APPROVED,2026-05-05T00:00:29.873585
PROMO00083,CUST004,PROD008,NAV1,Market Development Fund,1.49,1.3181,11.54,0.1719,3155,542.34,33.05,2024-05-22,2024-06-11,2024-05-22,APPROVED,2026-05-05T00:00:29.873595
PROMO00084,CUST005,PROD014,NAV2,Clearance,4.29,4.0051,6.64,0.2849,208,59.26,-2.92,2025-01-18,2025-02-05,2025-01-18,APPROVED,2026-05-05T00:00:29.873606
PROMO00085,CUST004,PROD011,NAV1,Volume Discount,1.49,1.3951,6.37,0.0949,379,35.97,32.98,2025-01-21,2025-02-03,2025-01-21,APPROVED,2026-05-05T00:00:29.873619
PROMO00086,CUST001,PROD010,NAV1,Bundle Deal,1.49,1.3701,8.05,0.1199,1084,129.97,-0.42,2024-08-30,2024-09-12,2024-08-30,APPROVED,2026-05-05T00:00:29.873629
PROMO00087,CUST008,PROD012,TROPOS,Clearance,4.49,4.0356,10.12,0.4544,3071,1395.46,19.29,2024-03-26,2024-04-05,2024-03-26,APPROVED,2026-05-05T00:00:29.873639
PROMO00088,CUST003,PROD005,CLOUDSUITE,Clearance,3.49,3.2401,7.16,0.2499,260,64.97,22.09,2024-06-08,2024-06-27,2024-06-08,APPROVED,2026-05-05T00:00:29.873653
PROMO00089,CUST007,PROD012,M3_V133,Market Development Fund,4.49,4.0872,8.97,0.4028,4900,1973.72,20.09,2024-12-19,2024-12-29,2024-12-19,APPROVED,2026-05-05T00:00:29.873663
PROMO00090,CUST012,PROD013,CLOUDSUITE,Volume Discount,1.89,1.6815,11.03,0.2085,4968,1035.83,26.85,2025-02-16,2025-03-13,2025-02-16,APPROVED,2026-05-05T00:00:29.873674
PROMO00091,CUST001,PROD006,NAV1,Clearance,4.29,3.6186,15.65,0.6714,3085,2071.27,20.9,2024-02-05,2024-02-12,2024-02-05,APPROVED,2026-05-05T00:00:29.873684
PROMO00092,CUST007,PROD014,M3_V133,Bundle Deal,4.29,3.6551,14.8,0.6349,3601,2286.27,30.66,2024-07-04,2024-07-25,2024-07-04,APPROVED,2026-05-05T00:00:29.873694
PROMO00093,CUST012,PROD003,CLOUDSUITE,New Product Launch,2.29,1.976,13.71,0.314,4324,1357.74,19.64,2024-11-29,2024-12-23,2024-11-29,APPROVED,2026-05-05T00:00:29.873704
PROMO00094,CUST008,PROD008,TROPOS,New Product Launch,1.49,1.2857,13.71,0.2043,4903,1001.68,29.07,2024-05-17,2024-05-26,2024-05-17,APPROVED,2026-05-05T00:00:29.873715
PROMO00095,CUST005,PROD015,NAV2,Clearance,1.45,1.2467,14.02,0.2033,3856,783.92,21.73,2024-10-18,2024-11-04,2024-10-18,APPROVED,2026-05-05T00:00:29.873728
PROMO00096,CUST001,PROD008,NAV1,Seasonal Promotion,1.49,1.1619,22.02,0.3281,1539,504.95,9.19,2024-09-06,2024-09-21,2024-09-06,APPROVED,2026-05-05T00:00:29.873738
PROMO00097,CUST006,PROD005,M3_V133,Volume Discount,3.49,2.7009,22.61,0.7891,2313,1825.19,15.67,2024-10-11,2024-10-24,2024-10-11,APPROVED,2026-05-05T00:00:29.873748
PROMO00098,CUST002,PROD004,NAV2,Market Development Fund,3.99,3.2159,19.4,0.7741,4052,3136.65,4.61,2024-10-11,2024-11-02,2024-10-11,APPROVED,2026-05-05T00:00:29.873762
PROMO00099,CUST011,PROD012,NAV1,New Product Launch,4.49,3.8246,14.82,0.6654,191,127.09,3.86,2024-02-17,2024-03-02,2024-02-17,APPROVED,2026-05-05T00:00:29.873772
PROMO00100,CUST005,PROD011,NAV2,Clearance,1.49,1.2422,16.63,0.2478,3926,972.86,8.75,2024-10-10,2024-11-03,2024-10-10,APPROVED,2026-05-05T00:00:29.873783
PROMO00101,CUST006,PROD006,M3_V133,New Product Launch,4.29,3.4723,19.06,0.8177,2269,1855.36,4.22,2024-06-05,2024-06-18,2024-06-05,APPROVED,2026-05-05T00:00:29.873793
PROMO00102,CUST006,PROD002,M3_V133,Seasonal Promotion,1.09,0.8735,19.86,0.2165,1566,339.04,24.54,2024-04-08,2024-04-23,2024-04-08,APPROVED,2026-05-05T00:00:29.873804
PROMO00103,CUST012,PROD010,CLOUDSUITE,New Product Launch,1.49,1.1245,24.53,0.3655,4347,1588.83,34.22,2024-11-01,2024-11-14,2024-11-01,APPROVED,2026-05-05T00:00:29.873814
PROMO00104,CUST005,PROD004,NAV2,Bundle Deal,3.99,3.5024,12.22,0.4876,2526,1231.68,16.37,2024-01-08,2024-01-23,2024-01-08,APPROVED,2026-05-05T00:00:29.873824
PROMO00105,CUST001,PROD001,NAV1,Market Development Fund,1.09,0.9148,16.07,0.1752,1084,189.92,25.11,2024-11-22,2024-12-02,2024-11-22,APPROVED,2026-05-05T00:00:29.873835
PROMO00106,CUST001,PROD010,NAV1,New Product Launch,1.49,1.3307,10.69,0.1593,3971,632.58,2.37,2024-08-13,2024-08-21,2024-08-13,APPROVED,2026-05-05T00:00:29.873845
PROMO00107,CUST005,PROD014,NAV2,Retailer Event,4.29,3.6658,14.55,0.6242,585,365.16,-2.04,2024-07-24,2024-08-20,2024-07-24,APPROVED,2026-05-05T00:00:29.873858
PROMO00108,CUST011,PROD001,NAV1,Volume Discount,1.09,1.0025,8.03,0.0875,4660,407.75,34.76,2024-06-04,2024-06-14,2024-06-04,APPROVED,2026-05-05T00:00:29.873869
PROMO00109,CUST009,PROD013,CLOUDSUITE,Clearance,1.89,1.6383,13.32,0.2517,4933,1241.64,4.03,2025-02-08,2025-03-03,2025-02-08,APPROVED,2026-05-05T00:00:29.873879
PROMO00110,CUST007,PROD008,M3_V133,Retailer Event,1.49,1.1448,23.17,0.3452,2485,857.82,7.22,2024-10-28,2024-11-23,2024-10-28,APPROVED,2026-05-05T00:00:29.873889
PROMO00111,CUST001,PROD010,NAV1,Seasonal Promotion,1.49,1.1294,24.2,0.3606,862,310.84,20.02,2025-01-25,2025-02-09,2025-01-25,APPROVED,2026-05-05T00:00:29.873902
PROMO00112,CUST011,PROD002,NAV1,Volume Discount,1.09,1.0013,8.14,0.0887,1473,130.66,1.26,2024-10-09,2024-10-29,2024-10-09,APPROVED,2026-05-05T00:00:29.873912
PROMO00113,CUST008,PROD012,TROPOS,Seasonal Promotion,4.49,3.7321,16.88,0.7579,2435,1845.49,6.52,2024-01-17,2024-02-02,2024-01-17,APPROVED,2026-05-05T00:00:29.873922
PROMO00114,CUST012,PROD014,CLOUDSUITE,Market Development Fund,4.29,3.686,14.08,0.604,1962,1185.05,26.65,2024-05-15,2024-06-09,2024-05-15,APPROVED,2026-05-05T00:00:29.873935
PROMO00115,CUST011,PROD013,NAV1,Clearance,1.89,1.4426,23.67,0.4474,3532,1580.22,3.99,2024-02-28,2024-03-10,2024-02-28,APPROVED,2026-05-05T00:00:29.873946
PROMO00116,CUST005,PROD014,NAV2,Market Development Fund,4.29,3.9537,7.84,0.3363,538,180.93,7.3,2024-03-25,2024-04-19,2024-03-25,APPROVED,2026-05-05T00:00:29.873959
PROMO00117,CUST005,PROD008,NAV2,Retailer Event,1.49,1.3784,7.49,0.1116,2541,283.58,32.71,2024-12-24,2025-01-16,2024-12-24,APPROVED,2026-05-05T00:00:29.873969
PROMO00118,CUST009,PROD008,CLOUDSUITE,Retailer Event,1.49,1.285,13.76,0.205,4949,1014.55,24.38,2024-01-21,2024-02-16,2024-01-21,APPROVED,2026-05-05T00:00:29.873980
PROMO00119,CUST005,PROD001,NAV2,Volume Discount,1.09,1.0156,6.83,0.0744,4762,354.29,34.98,2024-10-27,2024-11-24,2024-10-27,APPROVED,2026-05-05T00:00:29.873991
PROMO00120,CUST005,PROD010,NAV2,Clearance,1.49,1.4036,5.8,0.0864,1485,128.3,21.06,2024-08-28,2024-09-12,2024-08-28,APPROVED,2026-05-05T00:00:29.874001
PROMO00121,CUST003,PROD010,CLOUDSUITE,Retailer Event,1.49,1.2856,13.72,0.2044,4078,833.54,8.92,2024-02-16,2024-03-04,2024-02-16,APPROVED,2026-05-05T00:00:29.874011
PROMO00122,CUST006,PROD011,M3_V133,Retailer Event,1.49,1.3844,7.09,0.1056,1367,144.36,22.75,2024-06-17,2024-07-03,2024-06-17,APPROVED,2026-05-05T00:00:29.874022
PROMO00123,CUST011,PROD007,NAV1,Retailer Event,0.99,0.7794,21.27,0.2106,4556,959.49,-1.48,2024-01-19,2024-02-03,2024-01-19,APPROVED,2026-05-05T00:00:29.874034
PROMO00124,CUST006,PROD002,M3_V133,Market Development Fund,1.09,0.824,24.4,0.266,3361,894.03,34.52,2024-09-20,2024-10-18,2024-09-20,APPROVED,2026-05-05T00:00:29.874045
PROMO00125,CUST009,PROD008,CLOUDSUITE,New Product Launch,1.49,1.2924,13.26,0.1976,1586,313.39,19.91,2024-09-22,2024-10-14,2024-09-22,APPROVED,2026-05-05T00:00:29.874055
PROMO00126,CUST011,PROD008,NAV1,Clearance,1.49,1.189,20.2,0.301,1717,516.82,0.24,2024-05-16,2024-06-01,2024-05-16,APPROVED,2026-05-05T00:00:29.874066
PROMO00127,CUST008,PROD015,TROPOS,Bundle Deal,1.45,1.1749,18.97,0.2751,1044,287.2,19.35,2024-01-15,2024-01-29,2024-01-15,APPROVED,2026-05-05T00:00:29.874076
PROMO00128,CUST012,PROD003,CLOUDSUITE,Retailer Event,2.29,2.0331,11.22,0.2569,162,41.62,-1.27,2024-10-09,2024-10-19,2024-10-09,APPROVED,2026-05-05T00:00:29.874086
PROMO00129,CUST008,PROD002,TROPOS,Bundle Deal,1.09,0.8943,17.95,0.1957,1311,256.56,6.67,2024-09-12,2024-09-27,2024-09-12,APPROVED,2026-05-05T00:00:29.874096
PROMO00130,CUST007,PROD014,M3_V133,Retailer Event,4.29,3.6615,14.65,0.6285,3918,2462.46,17.05,2024-05-04,2024-05-23,2024-05-04,APPROVED,2026-05-05T00:00:29.874107
PROMO00131,CUST004,PROD015,NAV1,New Product Launch,1.45,1.2036,16.99,0.2464,1168,287.8,25.91,2024-02-05,2024-02-25,2024-02-05,APPROVED,2026-05-05T00:00:29.874117
PROMO00132,CUST006,PROD015,M3_V133,Volume Discount,1.45,1.1491,20.75,0.3009,2238,673.41,6.31,2025-02-24,2025-03-12,2025-02-24,APPROVED,2026-05-05T00:00:29.874130
PROMO00133,CUST010,PROD010,NAV2,Retailer Event,1.49,1.1178,24.98,0.3722,4061,1511.5,16.54,2024-03-17,2024-04-04,2024-03-17,APPROVED,2026-05-05T00:00:29.874141
